0001	1	Ng110	ODO1	44	4	1738.78	574.222	302	257
0001	2	Ng110_	ODO1	40	2	1771	578	302	261
0001	3	Ng35	ODO1	43	3	1751	571	302	258
0001	4	Ng35_	ODO1	37	2	1781	595	302	264
0001	5	Ng37	ODO1	44	4	1738.78	574.222	302	257
0001	6	Ng46	ODO1	44	4	1738.78	574.222	302	257
0001	7	Ng46_	ODO1	29	3	1840	608	302	272
0001	8	Ng47	ODO1	44	4	1738.78	574.222	302	257
0001	9	Ng58_	ODO1	44	4	1738.78	574.222	302	257
0001	10	Ng58	ODO1	29	3	1840	608	302	272
0001	11	Ng77_	ODO1	44	4	1738.78	574.222	302	257
0001	12	Ng77	ODO1	0	0	2027	682	302	301
0001	13	Ng81_	ODO1	43	3	1751	571	302	258
0002	1	Ng110	SUCD	63	1	2301	705	398	334
0002	2	Ng110_	SUCD	43	1	2428	758	398	354
0002	3	Ng35	SUCD	60	1	2321	712	398	337
0002	4	Ng35_	SUCD	38	1	2459	772	398	359
0002	5	Ng37	SUCD	63	1	2301	705	398	334
0002	6	Ng46	SUCD	63	1	2301	705	398	334
0002	7	Ng46_	SUCD	43	1	2428	758	398	354
0002	8	Ng47	SUCD	63	1	2301	705	398	334
0002	9	Ng58_	SUCD	63	1	2301	705	398	334
0002	10	Ng58	SUCD	43	1	2428	758	398	354
0002	11	Ng77_	SUCD	63	1	2301	705	398	334
0002	12	Ng77	SUCD	1	0	2706	858	398	396
0002	13	Ng81_	SUCD	60	1	2321	712	398	337
0003	1	Ng110	SUCC	30	2	1899	603	321	278
0003	2	Ng110_	SUCC	30	0	1982	628	321	290
0003	3	Ng35	SUCC	29	2	1909	602	321	279
0003	4	Ng35_	SUCC	35	0	1945	620	321	285
0003	5	Ng37	SUCC	30	2	1980	630	321	290
0003	6	Ng46	SUCC	30	2	1899	603	321	278
0003	7	Ng46_	SUCC	31	0	1974	627	321	289
0003	8	Ng47	SUCC	30	2	1899	603	321	278
0003	9	Ng58_	SUCC	30	2	1899	603	321	278
0003	10	Ng58	SUCC	31	0	1974	627	321	289
0003	11	Ng77_	SUCC	30	2	1980	630	321	290
0003	12	Ng77	SUCC	4	0	2153	691	321	316
0003	13	Ng81_	SUCC	29	2	1909	602	321	279
